partner_id,tenure_months,city_district,avg_customer_rating,safety_score,avg_weekly_trips,grab_pay_usage_rate,acceptance_rate,cancellation_rate,peak_hour_percentage,avg_weekly_earnings,earnings_stability_score,loan_default
32,24,East,4.77,72.6,104,0.78,1.0,0.04,0.41,17149.851084168546,3095.77,1
33,11,North,4.58,98.2,121,0.2,0.94,0.13,0.61,17110.1839874368,1771.61,1
34,47,East,4.75,92.2,38,0.74,0.91,0.08,0.22,11697.757447586393,1942.27,0
35,58,East,4.57,90.6,84,0.57,0.86,0.02,0.58,16454.655196562147,3292.32,0
36,8,West,4.54,92.5,128,0.69,0.95,0.02,0.72,15404.35473826747,2822.17,1
37,59,West,4.56,78.9,148,0.79,0.92,0.14,0.63,21897.51991978298,1756.49,1
38,50,West,4.93,71.1,75,0.79,0.97,0.14,0.77,14229.678035772971,3686.8,1
39,5,West,4.92,86.9,70,0.34,0.98,0.03,0.78,13711.414144924378,1805.96,0
40,35,South,4.76,84.6,77,0.67,0.9,0.06,0.4,14338.446895814433,395.0,0
41,18,West,4.7,73.8,62,0.86,0.9,0.12,0.31,12643.440949114092,1131.31,1
42,44,North,4.54,83.8,36,0.75,0.97,0.1,0.7,10416.261315200933,1071.43,0
43,57,North,4.75,95.7,109,0.49,0.91,0.05,0.71,15676.204440674057,1411.45,0
44,44,East,4.76,71.7,73,0.7,0.91,0.01,0.65,14323.362120862561,2814.87,1
45,50,South,4.86,88.5,130,0.23,0.89,0.13,0.39,17066.81983400631,2753.71,1
46,57,North,4.82,71.3,53,0.26,0.93,0.07,0.25,13415.073766703768,1567.18,0
47,4,North,4.74,98.5,139,0.41,1.0,0.11,0.6,19475.199361855444,2327.66,1
48,43,East,4.66,85.8,100,0.54,0.94,0.13,0.66,18359.179852875932,2310.02,1
49,9,South,4.68,85.6,97,0.24,0.98,0.07,0.26,14117.46730483556,2094.27,1
50,21,South,4.87,79.2,135,0.35,0.91,0.04,0.43,15070.242265745017,320.28,0
51,52,West,4.75,80.6,42,0.43,1.0,0.12,0.73,12263.527952100809,2130.71,1
52,3,North,4.81,73.9,109,0.29,0.95,0.14,0.44,17284.90939828109,3125.48,1
53,7,North,4.67,93.9,24,0.67,0.97,0.03,0.37,10312.465948329018,1975.86,0
54,29,South,4.75,96.0,140,0.73,0.97,0.12,0.54,17403.069653344694,1428.17,0
55,16,North,4.79,98.7,78,0.79,0.88,0.07,0.64,13994.463711747283,1857.44,0
56,12,South,4.56,92.8,108,0.39,0.89,0.02,0.7,15899.29431478874,2007.95,1
57,47,South,4.93,90.6,47,0.56,0.99,0.1,0.44,12570.529557785627,3616.86,1
58,20,South,4.52,99.8,66,0.61,0.9,0.15,0.42,13776.978950794994,2132.4,1
59,32,North,4.7,96.0,20,0.83,0.94,0.14,0.46,9320.94323618056,1103.22,0
60,56,South,4.84,81.6,125,0.49,0.98,0.04,0.33,14213.663222362755,2381.31,0
61,49,South,4.85,71.3,47,0.74,0.97,0.03,0.49,13247.591723827252,855.63,0
62,47,South,4.77,90.8,144,0.55,0.96,0.02,0.46,18611.930082845472,1940.32,0
63,1,West,4.73,92.6,131,0.88,0.93,0.06,0.53,15809.147221540934,2693.28,1
64,52,South,4.99,76.1,24,0.81,0.96,0.13,0.56,12466.335533452395,2446.57,0
65,50,West,4.65,74.8,61,0.8,0.88,0.11,0.44,11779.626511206023,566.1,0
66,41,North,4.55,76.7,67,0.29,0.94,0.14,0.6,16382.562589145035,2183.04,1
67,51,North,4.89,75.0,24,0.44,0.9,0.07,0.39,11112.49100877688,2429.44,1
68,2,West,4.82,90.9,60,0.37,0.95,0.11,0.56,12945.728647635497,3278.93,1
69,1,North,4.85,94.6,45,0.73,0.98,0.09,0.33,12119.555622387299,1473.49,0
70,43,South,4.74,93.7,133,0.89,0.89,0.08,0.56,19019.55904020267,2782.78,1
71,29,North,4.84,97.2,69,0.15,0.98,0.09,0.52,11744.949742916953,1798.76,0
72,10,East,4.51,82.8,20,0.56,0.89,0.02,0.47,12561.560520753941,3160.58,1
73,2,West,4.72,85.7,144,0.34,0.9,0.05,0.21,15970.783384006661,1122.78,1
74,2,South,4.65,93.0,64,0.56,0.98,0.09,0.3,13274.361371675059,2143.96,1
75,46,West,4.7,80.6,75,0.44,0.95,0.1,0.4,13041.491665537224,824.76,1
76,51,North,4.57,73.3,24,0.54,0.99,0.06,0.2,12701.304012367855,2611.79,0
77,39,West,4.57,72.0,53,0.22,0.97,0.09,0.21,13122.997057516073,1937.94,1
78,39,South,4.5,84.7,96,0.54,0.92,0.06,0.43,15239.807770860456,1976.78,0
79,40,South,4.71,73.5,95,0.86,0.91,0.04,0.47,17235.458744722837,2373.77,1
80,22,North,4.67,84.1,31,0.46,1.0,0.1,0.75,12615.495358982345,1112.31,1
81,13,West,4.83,76.7,142,0.25,0.85,0.09,0.6,19021.80959581346,1187.95,1
82,46,North,4.87,72.2,90,0.5,0.89,0.04,0.55,14910.396501396901,3069.91,1
83,7,South,4.52,72.3,120,0.25,0.89,0.03,0.33,17785.962045239245,3464.53,1
84,2,South,4.72,94.3,59,0.24,0.97,0.12,0.46,12853.867539444998,1785.38,1
85,32,West,4.7,85.4,82,0.69,0.95,0.07,0.59,15948.666540816492,106.34,0
86,41,East,4.67,70.8,149,0.67,0.99,0.09,0.76,18756.43485535133,3221.25,1
87,55,North,4.51,88.9,115,0.63,0.93,0.14,0.54,14105.378687584198,3590.3,1
88,45,West,4.6,97.4,114,0.79,0.97,0.11,0.35,15532.702935480349,4013.04,1
89,47,South,4.56,73.2,103,0.66,0.88,0.04,0.74,16732.545320370697,0.0,1
90,56,South,4.99,86.9,48,0.39,0.88,0.06,0.42,15678.760372906929,2223.67,0
91,37,North,4.53,77.8,38,0.84,0.9,0.12,0.23,9588.446247865686,2337.93,1
92,4,South,4.94,96.2,146,0.63,0.9,0.06,0.27,16717.77241846427,2115.57,0
93,17,West,4.83,83.9,113,0.41,0.86,0.08,0.4,15658.378272306345,3011.7,1
94,50,West,4.74,82.5,23,0.49,0.9,0.05,0.42,10082.240361422055,4508.03,0
95,28,East,4.98,90.1,142,0.77,0.95,0.1,0.6,17232.23476394906,3224.09,0
96,15,South,4.7,72.2,35,0.68,0.98,0.11,0.55,11566.978812822743,61.35,0
97,26,North,4.87,81.5,88,0.23,0.98,0.06,0.33,12745.614670718573,2754.15,0
98,10,West,4.85,96.5,93,0.12,0.88,0.11,0.41,14880.702618178886,797.71,0
99,6,West,4.56,84.4,64,0.48,0.93,0.01,0.73,14426.542031842024,1740.91,1
100,8,East,4.81,97.1,136,0.72,0.88,0.1,0.2,17785.25417171695,1156.96,1
101,7,North,4.64,88.2,93,0.72,1.0,0.05,0.61,15965.395842249009,945.93,0
102,54,South,4.72,99.3,51,0.59,0.96,0.08,0.5,14103.888786499687,1502.34,0
103,46,South,4.89,72.9,133,0.65,0.91,0.11,0.52,16523.082829326617,2738.71,1
104,41,West,4.66,97.6,37,0.83,0.95,0.09,0.3,10802.579471103798,1842.68,0
105,40,North,4.6,83.7,68,0.6,0.86,0.04,0.72,14296.083646807516,2983.17,1
106,4,East,4.94,79.4,128,0.24,0.93,0.05,0.48,18020.699373387517,2393.13,1
107,3,West,4.77,95.4,29,0.76,0.96,0.02,0.78,12489.24160200984,1424.61,0
108,28,West,4.55,70.5,108,0.69,0.92,0.03,0.56,15135.83235760108,198.65,0
109,24,South,4.68,72.7,32,0.23,0.9,0.04,0.23,12187.411903858194,1638.79,1
110,28,South,4.59,92.7,111,0.39,0.94,0.07,0.63,16700.600071868186,3240.53,1
111,49,South,4.79,73.2,82,0.3,1.0,0.08,0.48,11453.779145689521,3148.02,1
112,53,West,4.79,97.8,29,0.1,0.87,0.12,0.77,11484.646796223951,1975.55,1
113,51,West,4.91,91.8,104,0.42,0.92,0.08,0.51,15990.128909004572,3048.45,0
114,54,South,4.85,88.1,105,0.23,0.95,0.06,0.38,15059.966405470128,1802.02,0
115,35,West,4.69,84.1,40,0.85,0.88,0.09,0.65,13024.113058030336,1277.76,1
116,55,East,4.59,75.3,118,0.52,0.94,0.15,0.25,14866.22672332656,1395.47,1
117,53,West,4.57,92.2,83,0.14,0.91,0.02,0.51,13655.671708060398,2551.41,0
118,59,North,4.66,95.1,80,0.65,0.91,0.11,0.37,12542.514823943246,1624.58,0
119,25,East,4.85,79.4,77,0.41,0.88,0.12,0.65,13934.622733304775,910.94,1
120,41,South,4.98,91.5,128,0.88,0.88,0.11,0.41,13837.521120159856,1975.43,1
121,9,South,4.6,80.5,88,0.67,0.94,0.07,0.23,13532.671035162664,3228.33,1
122,34,West,4.76,90.9,130,0.52,0.88,0.14,0.3,18719.700276707368,2723.39,1
123,38,West,4.68,85.6,141,0.71,0.86,0.05,0.58,18333.99162196027,1203.75,0
124,12,South,4.85,80.3,50,0.88,0.99,0.1,0.26,12277.176732834723,1999.92,1
125,48,West,4.86,97.6,60,0.43,0.95,0.05,0.35,13847.342301676303,2868.06,0
126,2,East,4.5,84.9,113,0.2,0.93,0.02,0.35,15462.777826199348,1243.12,1
127,45,South,4.61,95.0,87,0.55,0.88,0.09,0.25,13719.054615255844,1236.62,0
128,22,West,4.73,86.9,96,0.84,0.96,0.14,0.74,13544.158449568256,1332.06,1
129,49,North,4.85,83.3,93,0.46,0.96,0.11,0.32,15861.928950761903,2219.24,0
130,35,North,4.88,74.9,83,0.35,0.98,0.06,0.27,15485.684282269656,1625.84,0
131,28,West,4.8,90.8,149,0.39,0.89,0.08,0.72,20206.43113759571,378.71,0
132,30,East,4.56,78.7,22,0.68,0.93,0.06,0.4,10964.658086549813,2192.5,1
133,30,North,4.84,77.4,147,0.48,0.87,0.1,0.28,18777.380060121068,1958.32,1
134,21,West,4.65,90.1,102,0.71,0.87,0.1,0.58,14261.115722142215,2261.75,0
135,21,South,4.52,72.1,80,0.79,0.9,0.02,0.72,15001.446986607338,3031.97,1
136,27,South,4.97,93.3,142,0.34,0.88,0.09,0.59,19783.91051179033,1435.09,1
137,6,North,4.53,77.6,64,0.41,0.91,0.02,0.62,10653.842964575693,3421.3,1
138,10,South,4.84,79.5,90,0.4,0.99,0.12,0.65,16423.984525927965,1106.99,1
139,12,West,4.88,87.3,81,0.21,0.99,0.04,0.67,13069.929256330728,1705.82,1
140,33,South,4.84,77.2,104,0.1,0.85,0.08,0.74,19122.864983326795,1586.61,1
141,34,West,4.67,78.5,77,0.44,0.94,0.05,0.74,12671.726965852791,227.67,0
142,27,West,4.76,93.2,33,0.41,0.95,0.15,0.56,11613.943712036014,3769.37,1
143,51,West,4.63,71.7,96,0.64,0.95,0.09,0.38,15607.5483744258,2196.79,1
144,39,West,4.52,91.1,39,0.53,0.99,0.1,0.49,11799.15422830766,1863.11,0
145,26,South,4.61,77.9,120,0.66,0.86,0.08,0.77,19920.50174185043,2814.01,1
146,56,South,4.7,76.4,140,0.29,0.91,0.02,0.73,18231.15216652072,1239.32,1
147,44,North,4.56,84.8,109,0.88,0.96,0.07,0.68,16250.367073850117,1086.26,0
148,22,West,4.58,71.0,59,0.45,0.88,0.07,0.35,13097.111532066421,2805.9,1
149,13,West,4.81,96.3,74,0.41,0.9,0.09,0.31,12451.587459388391,2521.18,0
150,11,South,4.5,82.4,74,0.77,0.97,0.04,0.43,14055.22377801544,0.0,0
151,58,South,5.0,71.9,65,0.17,0.87,0.02,0.26,13007.688628200276,1654.15,0
152,5,West,4.54,72.7,42,0.68,0.98,0.07,0.6,12367.332255507243,4276.18,1
153,51,South,4.99,72.2,39,0.65,0.94,0.07,0.71,11423.670248142811,3314.95,1
154,18,West,4.89,92.9,21,0.31,0.89,0.09,0.75,11579.600978775285,1252.03,1
155,52,East,4.52,77.1,35,0.35,0.96,0.12,0.61,10311.565848878192,1295.35,1
156,47,South,4.98,77.4,81,0.71,0.9,0.03,0.72,15713.038289194448,1696.62,1
157,44,South,4.98,89.2,51,0.48,0.91,0.09,0.54,12802.381199968284,1083.05,0
158,28,East,4.64,80.3,145,0.31,0.94,0.12,0.32,18065.456871690276,666.86,1
159,41,South,4.97,72.4,147,0.18,0.99,0.03,0.35,15726.542596342419,2618.45,0
160,32,North,4.89,83.1,122,0.19,0.89,0.11,0.63,17216.795463553066,3197.45,1
161,18,North,4.68,95.8,130,0.81,0.92,0.09,0.48,17516.313096666927,3972.5,1
162,28,West,4.51,76.4,132,0.63,0.99,0.1,0.41,16155.507420229755,1123.73,1
163,53,North,4.87,88.8,26,0.32,0.97,0.04,0.67,12575.221618361158,2199.63,0
164,29,South,4.91,98.9,30,0.64,0.96,0.09,0.56,11979.532667322123,1551.46,0
165,14,North,4.54,98.5,102,0.15,0.89,0.05,0.54,14730.879843164139,1676.35,1
166,58,South,4.55,80.9,75,0.7,0.86,0.14,0.48,13636.407959093687,2266.26,1
167,6,West,4.63,79.7,58,0.81,0.9,0.14,0.38,13739.326065000912,103.61,1
168,35,North,4.92,89.3,77,0.52,0.91,0.09,0.31,11513.294148149982,2262.21,0
169,17,West,4.87,89.3,107,0.53,0.87,0.09,0.57,16375.864188299001,3046.08,1
170,9,West,4.62,77.6,118,0.66,0.85,0.11,0.39,16390.777320221394,3251.88,1
171,18,North,4.83,72.3,114,0.28,0.87,0.05,0.42,17394.462667536027,1759.25,1
172,31,South,4.97,82.0,42,0.81,0.95,0.02,0.71,11049.694219073888,1265.14,0
173,53,North,4.53,89.4,87,0.38,0.87,0.03,0.41,13439.194965303674,796.05,0
174,7,West,4.75,77.4,133,0.53,0.98,0.12,0.39,15061.304378299299,1943.43,1
175,48,North,4.5,87.0,33,0.71,0.91,0.06,0.62,10900.46505353686,1703.27,0
176,41,West,4.92,89.5,76,0.11,0.97,0.13,0.24,13293.775494179883,3139.12,1
177,54,West,4.52,79.7,73,0.13,0.97,0.1,0.6,13407.433978472638,3832.03,1
178,47,North,4.85,96.1,46,0.8,0.9,0.03,0.66,12576.488964688524,1465.78,0
179,12,East,4.51,95.6,140,0.28,0.96,0.1,0.4,14819.157070250703,3592.68,1
180,2,South,4.54,78.7,56,0.87,0.98,0.03,0.6,12259.111901454657,1176.87,1
181,32,West,4.77,90.9,49,0.8,0.94,0.14,0.28,15680.410265161281,3208.33,0
182,25,South,4.83,98.4,98,0.15,0.96,0.13,0.24,16285.288914194121,3689.36,1
183,31,East,4.63,81.2,63,0.76,0.89,0.06,0.45,13591.766201384855,2488.44,1
184,6,East,4.64,77.5,87,0.76,0.94,0.13,0.56,15802.741867842076,1615.74,1
185,12,East,4.93,89.8,79,0.44,0.86,0.01,0.41,15411.438800308506,2235.95,0
186,39,South,4.96,79.0,122,0.28,0.9,0.07,0.63,12823.84758635302,2124.07,1
187,59,South,4.68,84.1,42,0.72,0.89,0.06,0.22,12496.105693049323,2744.83,0
188,31,North,4.89,93.8,91,0.33,0.91,0.04,0.64,14978.694136694943,2727.92,0
189,29,East,4.9,88.5,117,0.25,0.94,0.14,0.31,14764.661612432797,3016.21,1
190,14,South,4.95,80.6,67,0.46,0.92,0.04,0.55,12875.724548716269,1029.62,0
191,7,South,4.66,83.4,83,0.46,0.92,0.09,0.79,12888.181277496373,2044.53,1
192,14,South,4.53,95.3,71,0.25,0.97,0.09,0.72,14819.131608813632,3474.46,1
193,23,West,4.62,77.6,129,0.6,0.88,0.06,0.56,16353.812356957245,1716.46,1
194,52,West,4.6,81.8,135,0.68,0.88,0.08,0.28,16635.612066966074,2983.12,1
195,49,West,4.86,72.7,125,0.56,0.86,0.08,0.52,17096.682843788276,1799.66,1
196,15,South,4.71,82.7,94,0.3,0.9,0.11,0.39,14946.249181754758,311.97,1
197,11,South,4.56,94.4,145,0.32,0.98,0.09,0.8,14850.043013954028,3213.36,1
198,37,North,4.79,96.7,103,0.29,0.97,0.02,0.38,15210.550153614553,3140.83,0
199,39,South,4.95,72.2,34,0.22,0.86,0.06,0.46,11344.502027870822,2971.71,1
200,22,North,4.93,98.7,39,0.71,0.92,0.07,0.65,13523.403189794277,1050.6,0
201,18,South,4.57,95.3,134,0.82,0.92,0.04,0.48,18964.083771870457,3116.56,1
202,49,West,4.56,73.5,96,0.13,0.89,0.09,0.28,13240.593456280261,2175.34,1
203,44,East,4.89,95.7,96,0.72,0.92,0.12,0.24,16226.037759305918,1446.48,0
204,44,West,4.55,71.7,26,0.26,0.89,0.03,0.25,12336.863086071224,3435.46,1
205,59,South,4.82,77.0,61,0.54,0.97,0.13,0.3,14787.440241151999,3003.71,0
206,52,South,4.71,75.2,79,0.59,0.86,0.04,0.75,10527.278362955227,1033.81,1
207,33,South,4.63,74.3,113,0.68,0.94,0.05,0.27,16771.91205755529,1928.57,1
208,35,East,4.9,71.8,88,0.61,0.88,0.07,0.7,14205.222898073978,346.15,0
209,44,South,4.55,97.2,40,0.67,0.91,0.03,0.25,13633.232418291685,1848.14,0
210,47,South,4.57,84.6,99,0.24,0.96,0.13,0.24,14385.426181888355,4061.63,1
211,46,West,4.66,76.0,132,0.76,0.89,0.15,0.62,18961.265688098112,1729.95,1
212,48,South,4.56,80.5,66,0.59,0.97,0.13,0.4,11912.886261262498,2739.9,1
213,39,South,4.76,94.5,83,0.85,0.97,0.11,0.79,14127.33446109399,975.21,0
214,56,East,4.64,89.8,102,0.12,0.94,0.03,0.4,14748.384761340743,2839.82,0
215,57,West,4.56,87.8,58,0.28,0.96,0.06,0.39,12537.067921079532,2242.38,0
216,50,South,4.55,79.5,115,0.17,0.95,0.01,0.74,13768.565993592963,1441.32,0
217,30,North,4.81,93.7,84,0.68,0.93,0.07,0.46,12747.469200452731,1883.34,0
218,58,East,4.89,77.1,43,0.21,0.98,0.04,0.75,11214.895494928844,2163.49,0
219,19,East,4.61,81.3,123,0.25,0.89,0.04,0.41,15872.950863114707,3041.43,1
220,42,South,4.89,79.7,114,0.79,0.96,0.11,0.77,15384.154312422152,2238.46,0
221,8,North,4.63,97.8,148,0.46,0.9,0.14,0.79,21079.88982257081,572.35,1
222,1,West,4.82,72.4,55,0.11,0.87,0.08,0.37,13648.915862762573,1802.3,1
223,23,North,4.68,70.6,47,0.72,0.86,0.03,0.68,11297.498435760526,924.75,1
224,48,East,4.97,95.3,45,0.59,0.94,0.04,0.43,13822.70145064983,1942.98,0
225,25,North,4.76,84.5,92,0.65,0.93,0.14,0.51,15157.548624754194,1574.23,1
226,27,North,4.96,72.6,137,0.5,0.88,0.04,0.47,17989.7945327981,1426.43,0
227,10,West,4.69,82.6,28,0.26,0.94,0.02,0.42,11599.270859597877,1271.14,0
228,50,South,4.94,81.4,63,0.25,0.87,0.11,0.66,14541.49894103171,2598.86,1
229,4,West,4.6,80.7,74,0.42,0.94,0.13,0.29,13483.906772324708,1388.22,1
230,28,North,4.78,73.5,101,0.87,0.91,0.14,0.59,18895.893775355238,1797.17,1
231,37,East,4.82,92.2,37,0.71,0.86,0.08,0.23,12767.475893120727,1135.14,1
232,12,West,4.51,96.4,79,0.69,0.92,0.09,0.44,12395.109933690204,2270.94,0
233,4,East,4.79,86.9,144,0.56,0.96,0.05,0.66,19287.338623552896,1779.8,1
234,41,West,4.86,85.1,89,0.4,0.99,0.14,0.65,13876.601544236879,1026.92,1
235,22,West,4.98,91.8,121,0.44,0.95,0.09,0.75,17125.28663980163,2326.23,0
236,3,West,4.85,82.7,32,0.74,0.85,0.05,0.59,13093.01311643151,1762.72,1
237,2,South,4.65,71.6,113,0.63,0.96,0.09,0.63,15314.715832662641,2313.95,1
238,57,South,4.65,84.7,115,0.62,0.95,0.11,0.6,16778.41992515864,3199.61,1
239,22,North,4.57,89.3,41,0.78,0.94,0.05,0.76,14273.199726684752,1838.51,0
240,26,East,4.7,93.4,51,0.59,0.87,0.11,0.71,12938.090949511137,1496.0,1
241,12,South,4.63,99.1,86,0.53,0.98,0.11,0.76,13846.233083596882,3545.38,1
242,20,West,4.6,73.9,60,0.82,0.92,0.07,0.52,12490.3918705886,1764.47,1
243,47,North,4.59,73.3,117,0.36,0.97,0.12,0.37,16616.901389028375,3587.15,1
244,49,West,4.74,71.8,84,0.79,0.85,0.08,0.55,12610.0648283949,1879.93,1
245,42,East,4.86,93.1,55,0.19,0.97,0.04,0.44,12445.302483826777,2643.88,0
246,29,North,4.68,89.8,76,0.16,0.97,0.07,0.34,14541.071026610665,2776.69,0
247,50,North,4.64,87.1,59,0.58,0.95,0.14,0.29,14434.1305761374,3709.36,1
248,44,North,4.57,80.1,115,0.37,0.9,0.04,0.7,15552.105453903248,0.0,0
249,43,South,4.6,95.7,110,0.89,0.95,0.11,0.7,16014.024217617964,2921.3,0
250,42,East,4.64,87.5,138,0.34,0.94,0.13,0.77,21257.21775741634,1256.34,1
251,56,North,4.55,88.6,120,0.66,0.95,0.15,0.63,13173.289770898033,1268.28,1
252,39,South,4.89,83.8,129,0.39,0.94,0.13,0.27,17339.079711216735,2820.33,1
253,57,South,4.98,97.5,32,0.35,0.94,0.15,0.3,10597.859757738941,79.2,0
254,10,South,4.64,85.5,123,0.61,0.97,0.03,0.66,15165.299413976534,1495.99,1
255,58,South,4.86,80.4,97,0.42,0.96,0.07,0.39,14303.724228352532,3523.32,1
256,1,North,4.61,70.7,72,0.48,0.91,0.07,0.2,12280.249974039087,2994.87,1
257,54,West,4.96,94.4,81,0.24,0.98,0.06,0.74,14811.183115409196,2180.03,0
258,31,South,4.69,82.9,117,0.44,0.93,0.14,0.47,16300.374274535749,1852.68,1
259,6,West,4.63,93.1,121,0.67,0.87,0.1,0.5,17803.288851189045,3646.67,1
260,5,South,4.89,85.7,44,0.32,0.94,0.11,0.33,11972.673788742703,776.08,1
261,39,West,4.75,98.5,113,0.67,0.88,0.13,0.44,13613.633265197324,1120.43,0
262,36,West,4.79,75.3,106,0.49,0.91,0.03,0.34,16673.41470928584,1343.82,0
263,24,North,4.77,73.4,88,0.45,1.0,0.04,0.64,14537.311316174579,1225.98,0
264,21,West,4.71,94.4,147,0.52,0.96,0.11,0.52,16520.73579664127,3042.35,0
265,4,East,4.67,72.3,113,0.14,0.89,0.11,0.65,15096.095037970657,2194.94,1
266,20,East,4.54,81.1,39,0.53,0.92,0.05,0.5,11116.646456384973,1876.21,1
267,11,West,4.74,70.5,52,0.27,0.88,0.14,0.77,14819.944617454796,1474.79,1
268,2,East,4.92,78.2,104,0.37,1.0,0.14,0.44,16444.193034829143,1739.58,1
269,26,South,4.69,81.8,132,0.4,0.9,0.05,0.64,14980.959762632121,672.11,1
270,14,East,4.83,85.2,22,0.39,0.99,0.04,0.74,12201.53579032972,1540.58,1
271,45,East,4.84,87.2,126,0.42,0.95,0.04,0.24,14262.553142544644,1664.26,0
272,8,West,4.94,80.8,143,0.88,0.85,0.09,0.51,16560.456889444802,1854.44,1
273,14,West,4.88,80.0,138,0.63,0.86,0.07,0.33,18626.640332788153,1246.7,1
274,14,East,4.58,88.4,82,0.3,0.89,0.12,0.42,17304.704566309058,2185.68,1
275,18,East,4.91,97.7,72,0.6,0.92,0.08,0.43,12346.793983387382,2870.02,0
276,28,West,4.78,85.0,127,0.62,0.85,0.07,0.46,18339.948524706953,1078.57,0
277,39,East,4.72,92.0,124,0.57,0.98,0.11,0.29,17417.7045326953,2150.2,1
278,14,North,4.77,85.5,102,0.33,0.89,0.04,0.53,16565.29941595344,1545.23,0
279,51,West,4.74,92.4,110,0.29,0.89,0.15,0.3,14849.840459657687,3417.37,1
280,58,North,4.55,77.0,35,0.41,0.96,0.04,0.5,8773.595100031525,2449.64,1
281,7,South,4.68,80.8,35,0.25,0.91,0.15,0.32,10816.245690266302,2021.37,1
282,24,West,4.82,96.1,109,0.85,0.96,0.1,0.29,14573.109681683365,1137.77,0
283,41,West,4.91,73.4,76,0.64,0.96,0.04,0.65,13471.048411792039,3488.5,1
284,25,North,4.54,92.2,78,0.61,0.95,0.03,0.65,14690.768942522202,2881.46,1
285,1,West,4.94,85.6,101,0.83,0.94,0.12,0.65,14003.722048370166,3418.39,1
286,7,North,4.74,70.1,31,0.76,0.91,0.11,0.35,9996.532027161162,2673.97,1
287,55,West,4.84,84.3,123,0.26,0.85,0.13,0.49,18448.079669779505,2779.2,1
288,53,North,4.82,84.9,38,0.18,0.88,0.13,0.29,9455.160384324245,3969.88,1
289,58,North,4.87,98.0,72,0.57,0.88,0.03,0.59,14124.123279812004,2152.67,0
290,40,East,4.97,93.5,39,0.72,0.87,0.12,0.45,11477.858535351885,1808.17,0
291,7,East,4.54,99.0,85,0.54,0.92,0.07,0.59,11703.14480254941,2567.07,1
292,19,West,4.52,88.7,27,0.73,0.86,0.15,0.39,11290.291666394156,2934.58,1
293,49,North,4.98,92.4,109,0.19,0.91,0.03,0.29,14902.747055447238,2244.7,0
294,19,South,4.86,86.3,127,0.32,0.92,0.06,0.44,16396.42836677584,2839.55,1
